|---------|------|-------|--------|--------|--------|--------|--------|----------|
| variant | seed | epoch | HOTA   | DetA   | AssA   | MOTA   | IDF1   | IDSW     |
|---------|------|-------|--------|--------|--------|--------|--------|----------|
| b3a     |  123 |     0 | 63.774 | 74.291 | 54.999 | 83.095 | 66.798 | 1209.000 |
|---------|------|-------|--------|--------|--------|--------|--------|----------|
| b3a     |  123 |     1 | 63.945 | 74.625 | 55.046 | 83.729 | 67.105 | 1161.000 |
|---------|------|-------|--------|--------|--------|--------|--------|----------|
| b3a     |  123 |     2 | 63.557 | 74.631 | 54.388 | 83.712 | 66.652 | 1200.000 |
|---------|------|-------|--------|--------|--------|--------|--------|----------|
| b3a     |  123 |     3 | 64.286 | 74.540 | 55.716 | 83.841 | 67.473 | 1162.000 |
|---------|------|-------|--------|--------|--------|--------|--------|----------|
| b3a     |  123 |     4 | 63.697 | 74.565 | 54.681 | 83.690 | 66.743 | 1205.000 |
|---------|------|-------|--------|--------|--------|--------|--------|----------|
| b3a     |   42 |     0 | 63.735 | 74.422 | 54.852 | 83.429 | 66.754 | 1187.000 |
|---------|------|-------|--------|--------|--------|--------|--------|----------|
| b3a     |   42 |     1 | 63.911 | 74.472 | 55.117 | 83.389 | 67.213 | 1215.000 |
|---------|------|-------|--------|--------|--------|--------|--------|----------|
| b3a     |   42 |     2 | 63.669 | 74.379 | 54.774 | 83.079 | 66.544 | 1180.000 |
|---------|------|-------|--------|--------|--------|--------|--------|----------|
| b3a     |   42 |     3 | 64.084 | 74.451 | 55.436 | 83.349 | 66.809 | 1182.000 |
|---------|------|-------|--------|--------|--------|--------|--------|----------|
| b3a     |   42 |     4 | 64.102 | 74.477 | 55.451 | 83.442 | 66.898 | 1144.000 |
|---------|------|-------|--------|--------|--------|--------|--------|----------|
| b3b     |  123 |     0 | 63.939 | 74.868 | 54.873 | 83.863 | 66.894 | 1201.000 |
|---------|------|-------|--------|--------|--------|--------|--------|----------|
| b3b     |  123 |     1 | 63.128 | 74.943 | 53.449 | 83.722 | 66.289 | 1187.000 |
|---------|------|-------|--------|--------|--------|--------|--------|----------|
| b3b     |  123 |     2 | 63.601 | 74.560 | 54.501 | 83.545 | 67.083 | 1226.000 |
|---------|------|-------|--------|--------|--------|--------|--------|----------|
| b3b     |  123 |     3 | 64.085 | 74.705 | 55.238 | 83.675 | 66.714 | 1166.000 |
|---------|------|-------|--------|--------|--------|--------|--------|----------|
| b3b     |  123 |     4 | 63.804 | 74.804 | 54.689 | 83.613 | 66.456 | 1152.000 |
|---------|------|-------|--------|--------|--------|--------|--------|----------|
| b3b     |   42 |     0 | 63.803 | 74.685 | 54.770 | 83.597 | 67.099 | 1222.000 |
|---------|------|-------|--------|--------|--------|--------|--------|----------|
| b3b     |   42 |     1 | 63.456 | 74.820 | 54.069 | 83.811 | 66.687 | 1228.000 |
|---------|------|-------|--------|--------|--------|--------|--------|----------|
| b3b     |   42 |     2 | 63.535 | 74.643 | 54.333 | 83.639 | 66.541 | 1186.000 |
|---------|------|-------|--------|--------|--------|--------|--------|----------|
| b3b     |   42 |     3 | 63.682 | 74.485 | 54.703 | 83.555 | 66.572 | 1208.000 |
|---------|------|-------|--------|--------|--------|--------|--------|----------|
| b3b     |   42 |     4 | 63.760 | 74.585 | 54.774 | 83.608 | 66.808 | 1193.000 |
|---------|------|-------|--------|--------|--------|--------|--------|----------|
| b3c     |  123 |     0 | 64.289 | 74.246 | 55.935 | 83.434 | 67.802 | 1189.000 |
|---------|------|-------|--------|--------|--------|--------|--------|----------|
